precision,recall,threshold
0.282,1.0,0.03547793166114905
0.2822822822822823,1.0,0.036993726490908284
0.28256513026052105,1.0,0.04853111504166258
0.28284854563691075,1.0,0.04955859949430819
0.28313253012048195,1.0,0.05930483142712816
0.2834170854271357,1.0,0.06105023015519163
0.2837022132796781,1.0,0.06332564646021635
0.283987915407855,1.0,0.0647513039737204
0.2842741935483871,1.0,0.0680027761607768
0.28456104944500504,1.0,0.07079449946754109
0.28484848484848485,1.0,0.07232961849413262
0.2851365015166835,1.0,0.07250662870520179
0.2854251012145749,1.0,0.076324075819632
0.2857142857142857,1.0,0.07710931442055403
0.28600405679513186,1.0,0.07794959912946703
0.2862944162436548,1.0,0.07863329076430557
0.2865853658536585,1.0,0.07894381326075353
0.28687690742624616,1.0,0.08581120019317223
0.28716904276985744,1.0,0.09052338878248127
0.2874617737003058,1.0,0.09261170693880443
0.28775510204081634,1.0,0.09549977886908372
0.28804902962206336,1.0,0.09561255806563931
0.2883435582822086,1.0,0.09679533281177459
0.28863868986693964,1.0,0.09791198457835658
0.2889344262295082,1.0,0.09855549197760599
0.28923076923076924,1.0,0.09861007472494734
0.28952772073921973,1.0,0.09910121874848951
0.289825282631038,1.0,0.09942059132311723
0.29012345679012347,1.0,0.10194002100994089
0.29042224510813597,1.0,0.10366200659307699
0.2907216494845361,1.0,0.1052435413662488
0.29102167182662536,1.0,0.10590137390652142
0.29132231404958675,1.0,0.10815176881810648
0.29162357807652534,1.0,0.108570992713348
0.2919254658385093,1.0,0.10953617123804259
0.2922279792746114,1.0,0.112013734228201
0.2925311203319502,1.0,0.1120675497566345
0.29283489096573206,1.0,0.11209363995601473
0.29313929313929316,1.0,0.11250161686257044
0.2934443288241415,1.0,0.11258628292314062
0.29375,1.0,0.11346921118234614
0.2940563086548488,1.0,0.11428782933907473
0.29436325678496866,1.0,0.11561977782019377
0.2946708463949843,1.0,0.11599983841095568
0.29497907949790797,1.0,0.11831020497275613
0.29528795811518327,1.0,0.11960889558701525
0.29559748427672955,1.0,0.12094866342459183
0.29590766002098634,1.0,0.1220281528750207
0.296218487394958,1.0,0.12224619117219705
0.29652996845425866,1.0,0.12360184876864838
0.2968421052631579,1.0,0.1245318600702923
0.2971548998946259,1.0,0.12583444764105728
0.2974683544303797,1.0,0.12602513234890556
0.29778247096092925,1.0,0.1262980784991795
0.29809725158562367,1.0,0.12656643138833526
0.2984126984126984,1.0,0.12783223496093113
0.298728813559322,1.0,0.13133283206758367
0.2990455991516437,1.0,0.13152624966516685
0.29936305732484075,1.0,0.1328843574044024
0.29968119022316686,1.0,0.1352306440585634
0.3,1.0,0.1355831994294227
0.3003194888178914,1.0,0.13616169679227444
0.3006396588486141,1.0,0.13619660920652193
0.30096051227321235,1.0,0.1363629667729385
0.30128205128205127,1.0,0.1370459190516099
0.3016042780748663,1.0,0.1371160152566103
0.30085653104925053,0.9964539007092199,0.1382581950379351
0.3011789924973205,0.9964539007092199,0.13973125374579437
0.30150214592274677,0.9964539007092199,0.13993087365199386
0.30182599355531686,0.9964539007092199,0.14002449286279986
0.3021505376344086,0.9964539007092199,0.14094848409755667
0.302475780409042,0.9964539007092199,0.14251018888072015
0.30280172413793105,0.9964539007092199,0.14481165708013496
0.30312837108953616,0.9964539007092199,0.14677484913747135
0.30345572354211664,0.9964539007092199,0.14711684893070814
0.3037837837837838,0.9964539007092199,0.14729932035198362
0.30303030303030304,0.9929078014184397,0.1478605883164405
0.30335861321776814,0.9929078014184397,0.14806246742405482
0.3036876355748373,0.9929078014184397,0.1490392398944609
0.30293159609120524,0.9893617021276596,0.1491107524386475
