fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0035460992907801418,0.9935002053454243
0.0,0.02127659574468085,0.9484311769588506
0.001392757660167131,0.02127659574468085,0.9431487908860242
0.001392757660167131,0.03900709219858156,0.9176963021138079
0.002785515320334262,0.03900709219858156,0.9137729138915662
0.002785515320334262,0.10638297872340426,0.8795817887359445
0.005571030640668524,0.10638297872340426,0.8784459431221758
0.005571030640668524,0.11347517730496454,0.8772347571254829
0.006963788300835654,0.11347517730496454,0.876128077669868
0.006963788300835654,0.11702127659574468,0.8760398521197976
0.008356545961002786,0.11702127659574468,0.8735545984355995
0.008356545961002786,0.1276595744680851,0.8667759527777684
0.009749303621169917,0.1276595744680851,0.8664001581621703
0.009749303621169917,0.13829787234042554,0.860723318317015
0.012534818941504178,0.13829787234042554,0.8584690165441561
0.012534818941504178,0.1453900709219858,0.855528931329034
0.016713091922005572,0.1453900709219858,0.8467694507062178
0.016713091922005572,0.18085106382978725,0.8345392866081629
0.022284122562674095,0.18085106382978725,0.8302584231507975
0.022284122562674095,0.19148936170212766,0.8243227702377242
0.027855153203342618,0.19148936170212766,0.8189070371193932
0.027855153203342618,0.1950354609929078,0.8187582394922361
0.02924791086350975,0.1950354609929078,0.816938035598024
0.02924791086350975,0.2127659574468085,0.8108832146080314
0.03203342618384401,0.2127659574468085,0.8094202752016006
0.03203342618384401,0.21631205673758866,0.808112875853665
0.033426183844011144,0.21631205673758866,0.804623496751814
0.033426183844011144,0.22340425531914893,0.8032682711886926
0.034818941504178275,0.22340425531914893,0.8006960810924801
0.034818941504178275,0.23049645390070922,0.798872340997064
0.036211699164345405,0.23049645390070922,0.7982792592841357
0.036211699164345405,0.2375886524822695,0.7922287321852979
0.037604456824512536,0.2375886524822695,0.7916929560081749
0.037604456824512536,0.24113475177304963,0.7897288384204698
0.03899721448467967,0.24113475177304963,0.7889888503976762
0.03899721448467967,0.24822695035460993,0.7866988260422869
0.0403899721448468,0.24822695035460993,0.7866897345498534
0.0403899721448468,0.25886524822695034,0.7817929557800894
0.04178272980501393,0.25886524822695034,0.780277034222378
0.04178272980501393,0.2730496453900709,0.7644722338835412
0.04317548746518106,0.2730496453900709,0.7631414491365801
0.04317548746518106,0.2765957446808511,0.7619810396433088
0.04456824512534819,0.2765957446808511,0.7612196467009359
0.04456824512534819,0.28368794326241137,0.755904406159753
0.04596100278551532,0.28368794326241137,0.755647910633947
0.04596100278551532,0.2978723404255319,0.7512854746980447
0.05013927576601671,0.2978723404255319,0.7502721905671877
0.05013927576601671,0.30141843971631205,0.7484880080653228
0.054317548746518104,0.30141843971631205,0.7467775968135197
0.054317548746518104,0.3049645390070922,0.7457955791783182
0.055710306406685235,0.3049645390070922,0.7445759182658476
0.055710306406685235,0.3120567375886525,0.7438161100415506
0.057103064066852366,0.3120567375886525,0.7435663122210434
0.057103064066852366,0.3191489361702128,0.7393054416828975
0.05988857938718663,0.3191489361702128,0.7382741729835961
0.05988857938718663,0.32269503546099293,0.7381615811854426
0.06545961002785515,0.32269503546099293,0.7339430295144174
0.06545961002785515,0.3333333333333333,0.7294281781985743
0.06685236768802229,0.3333333333333333,0.7293885620491922
0.06685236768802229,0.33687943262411346,0.7289146970025838
0.06824512534818941,0.33687943262411346,0.7270366268230913
0.06824512534818941,0.3404255319148936,0.7268489039874632
0.07103064066852367,0.3404255319148936,0.7249293804989373
0.07103064066852367,0.35106382978723405,0.723187956974511
0.07242339832869081,0.35106382978723405,0.7221086937938173
0.07242339832869081,0.3546099290780142,0.722027635386754
0.07520891364902507,0.3546099290780142,0.720017542763603
0.07520891364902507,0.3617021276595745,0.718096234031676
0.07799442896935933,0.3617021276595745,0.7146511811995623
0.07799442896935933,0.36524822695035464,0.7139843055475076
0.08217270194986072,0.36524822695035464,0.7112437643650636
0.08217270194986072,0.36879432624113473,0.7101278357435834
0.08774373259052924,0.36879432624113473,0.7073202655326041
0.08774373259052924,0.3723404255319149,0.706527433676398
0.09192200557103064,0.3723404255319149,0.7009105894996995
0.09192200557103064,0.375886524822695,0.6997378928310102
0.09749303621169916,0.375886524822695,0.6947292881334955
0.09749303621169916,0.38652482269503546,0.6922064382510775
0.0988857938718663,0.38652482269503546,0.6902285906742516
0.0988857938718663,0.3900709219858156,0.6899293739629282
0.10167130919220056,0.3900709219858156,0.6889832179550325
0.10167130919220056,0.4078014184397163,0.6854105085352751
0.10306406685236769,0.4078014184397163,0.6852504126522472
0.10306406685236769,0.41843971631205673,0.683356364647932
0.10584958217270195,0.41843971631205673,0.682385930791737
0.10584958217270195,0.4219858156028369,0.6820864753002581
0.10863509749303621,0.4219858156028369,0.6788141110753069
0.10863509749303621,0.425531914893617,0.6787173176204676
0.11281337047353761,0.425531914893617,0.6769202527200777
0.11281337047353761,0.42907801418439717,0.6768983401984271
0.11838440111420613,0.42907801418439717,0.6601360317568722
0.11838440111420613,0.43617021276595747,0.6594771037371397
